                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4565,                 1.9462,                  1.564,                0.53809,                0.29827,                0.22741,                0.11715,                 1.6643,                 4.0656,                 1.9893,             0.00054921,             0.00054921,             0.00054921
                      2,                 1.4809,                 1.5579,                 1.5854,                0.14761,                 0.4084,                  0.099,                0.04217,                 2.1428,                   12.8,                  2.862,              0.0010775,              0.0010775,              0.0010775
                      3,                 1.5632,                 1.5232,                 1.6147,                 0.4735,                0.53374,                0.43425,                0.20933,                 1.7373,                 2.3157,                 2.1454,              0.0015783,              0.0015783,              0.0015783
                      4,                 1.4509,                 1.3854,                 1.5218,                0.67327,                0.58296,                0.62527,                0.33515,                 1.5149,                 2.1216,                 1.7411,              0.0015432,              0.0015432,              0.0015432
                      5,                 1.4475,                  1.326,                 1.4967,                0.77038,                0.62119,                 0.7084,                0.40239,                 1.4544,                 1.5505,                 1.6934,              0.0015432,              0.0015432,              0.0015432
                      6,                 1.3812,                 1.2467,                 1.4632,                0.63153,                0.53035,                0.55661,                0.30097,                 1.6292,                 1.8543,                 1.7858,               0.001502,               0.001502,               0.001502
                      7,                 1.3634,                 1.2029,                 1.4593,                0.78345,                0.73008,                 0.8087,                0.44833,                 1.4557,                 1.0845,                 1.6203,              0.0014607,              0.0014607,              0.0014607
                      8,                 1.3018,                 1.0881,                 1.3814,                0.81823,                0.75648,                0.81878,                 0.4921,                 1.3406,                 1.0325,                 1.5716,              0.0014195,              0.0014195,              0.0014195
                      9,                 1.2761,                 1.0569,                 1.3761,                0.84786,                0.76803,                0.84283,                0.49629,                 1.3406,                0.97807,                 1.5557,              0.0013782,              0.0013782,              0.0013782
                     10,                 1.2634,                 1.0333,                  1.365,                0.84995,                0.78647,                0.86833,                 0.5419,                 1.2487,                0.95215,                 1.4813,              0.0013369,              0.0013369,              0.0013369
                     11,                 1.2394,                  0.982,                 1.3428,                0.83534,                0.81255,                 0.8671,                 0.5468,                 1.2376,                0.85614,                 1.4688,              0.0012957,              0.0012957,              0.0012957
                     12,                 1.1889,                0.94507,                 1.3296,                0.89118,                0.75531,                0.85688,                0.51884,                 1.2414,                0.89253,                 1.4649,              0.0012544,              0.0012544,              0.0012544
                     13,                 1.2104,                0.92088,                 1.3158,                0.86273,                 0.8297,                0.88637,                0.56005,                 1.1815,                0.85403,                 1.4211,              0.0012132,              0.0012132,              0.0012132
                     14,                 1.1585,                0.87447,                 1.2885,                0.86461,                0.79186,                0.87054,                0.54884,                 1.2419,                 0.8312,                 1.4921,              0.0011719,              0.0011719,              0.0011719
